# NO SAMPLE
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2641080480.000000 207.970000 0.000187011
1 2641080560.000000 208.123500 0.000186981
2 2641080640.000000 208.277500 0.000186861
3 2641080720.000000 208.434500 0.000186921
4 2641080800.000000 208.584500 0.000186951
5 2641080880.000000 208.742500 0.000186981
6 2641080960.000000 208.898500 0.000186951
7 2641081040.000000 209.050000 0.000186921
8 2641081120.000000 209.206500 0.000186921
9 2641081200.000000 209.360000 0.000186802
10 2641081280.000000 209.514000 0.000186772
11 2641081360.000000 209.669500 0.000186802
12 2641081440.000000 209.825500 0.000186802
13 2641081520.000000 209.978000 0.000186861
14 2641081600.000000 210.132500 0.000186981
15 2641081680.000000 210.290500 0.00018707
16 2641081760.000000 210.442000 0.000187011
17 2641081840.000000 210.596500 0.000186861
18 2641081920.000000 210.754000 0.000186772
19 2641082000.000000 210.908000 0.000186563
20 2641082080.000000 211.062500 0.000186504
21 2641082160.000000 211.219500 0.000186534
22 2641082240.000000 211.373000 0.000186623
23 2641082320.000000 211.529000 0.000186832
24 2641082400.000000 211.682500 0.000187011
25 2641082480.000000 211.840000 0.00018707
26 2641082560.000000 211.993500 0.000187011
27 2641082640.000000 212.146500 0.000186861
28 2641082720.000000 212.302500 0.000186534
29 2641082800.000000 212.459500 0.000186325
30 2641082880.000000 212.614500 0.000186265
