# SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. Y-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 599606783.000000 177.927500 0.000122697
1 599606880.000000 178.039000 0.000122727
2 599606960.000000 178.152000 0.000122667
3 599607040.000000 178.265500 0.000122697
4 599607120.000000 178.381000 0.000122697
5 599607200.000000 178.495500 0.000122697
6 599607280.000000 178.608500 0.000122697
7 599607360.000000 178.723000 0.000122608
8 599607440.000000 178.838000 0.000122757
9 599607520.000000 178.955500 0.000122667
10 599607600.000000 179.069000 0.000122727
11 599607680.000000 179.184500 0.000122637
12 599607760.000000 179.300000 0.000122608
13 599607840.000000 179.416500 0.000122667
14 599607920.000000 179.529000 0.000122667
15 599608000.000000 179.644000 0.000122697
16 599608080.000000 179.761000 0.000122667
17 599608160.000000 179.875500 0.000122548
18 599608240.000000 179.991500 0.000122637
19 599608320.000000 180.105500 0.000122578
20 599608400.000000 180.221500 0.000122637
21 599608480.000000 180.335500 0.000122667
22 599608560.000000 180.452500 0.000122578
23 599608640.000000 180.567500 0.000122697
24 599608720.000000 180.682500 0.000122578
25 599608800.000000 180.798000 0.000122667
26 599608880.000000 180.913500 0.000122608
27 599608960.000000 181.029000 0.000122578
28 599609040.000000 181.142500 0.000122667
29 599609120.000000 181.261000 0.000122637
30 599609200.000000 181.373500 0.000122667
31 599609280.000000 181.492000 0.000122548
32 599609360.000000 181.608000 0.000122637
33 599609440.000000 181.724500 0.000122548
34 599609520.000000 181.840500 0.000122488
35 599609600.000000 181.958000 0.000122518
