# SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. Y-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 604048280.000000 177.903500 0.000204504
1 604048360.000000 178.018000 0.000204504
2 604048440.000000 178.131000 0.000204564
3 604048520.000000 178.246500 0.000204534
4 604048600.000000 178.358000 0.000204445
5 604048680.000000 178.476000 0.000204415
6 604048760.000000 178.588500 0.000204266
7 604048840.000000 178.703500 0.000204296
8 604048920.000000 178.816000 0.000204296
9 604049000.000000 178.934500 0.000204296
10 604049080.000000 179.050000 0.000204385
11 604049160.000000 179.166000 0.000204385
12 604049240.000000 179.279000 0.000204594
13 604049320.000000 179.396500 0.000204534
14 604049400.000000 179.512000 0.000204415
15 604049480.000000 179.623500 0.000204296
16 604049560.000000 179.741500 0.000204266
17 604049640.000000 179.853500 0.000204326
18 604049720.000000 179.971000 0.000204296
19 604049800.000000 180.086000 0.000204355
20 604049880.000000 180.203000 0.000204415
21 604049960.000000 180.316000 0.000204385
22 604050040.000000 180.432500 0.000204534
23 604050120.000000 180.547500 0.000204475
24 604050200.000000 180.662000 0.000204385
25 604050280.000000 180.778500 0.000204266
26 604050360.000000 180.893000 0.000204177
27 604050440.000000 181.007500 0.000204326
28 604050520.000000 181.123000 0.000204296
29 604050600.000000 181.241000 0.000204445
30 604050680.000000 181.354500 0.000204534
31 604050760.000000 181.472500 0.000204475
32 604050840.000000 181.589000 0.000204445
33 604050920.000000 181.704000 0.000204326
34 604051000.000000 181.821000 0.000204296
35 604051080.000000 181.937000 0.000204236
36 604051160.000000 182.052500 0.000204236
