# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.  No bandpass filter.

SAMPLE: B3-The3-02, Ade edge filter, sent from Caltech 2016-06

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1863389680.000000 208.015500 0.000699762
1 1863389760.000000 208.170000 0.000699762
2 1863389840.000000 208.323500 0.000700001
3 1863389920.000000 208.482000 0.000699762
4 1863390000.000000 208.634000 0.000699762
5 1863390080.000000 208.790500 0.000699762
6 1863390160.000000 208.942500 0.000699762
7 1863390240.000000 209.095500 0.000699762
8 1863390320.000000 209.252500 0.000699524
9 1863390400.000000 209.405500 0.000699524
10 1863390480.000000 209.559500 0.000699524
11 1863390560.000000 209.716500 0.000699524
12 1863390640.000000 209.869500 0.000699524
13 1863390720.000000 210.024000 0.000699285
14 1863390800.000000 210.178500 0.000699285
15 1863390880.000000 210.334000 0.000699285
16 1863390960.000000 210.490000 0.000699285
17 1863391040.000000 210.641000 0.000699285
18 1863391120.000000 210.797500 0.000699047
19 1863391200.000000 210.954500 0.000699047
20 1863391280.000000 211.107000 0.000698809
21 1863391360.000000 211.262500 0.000699047
22 1863391440.000000 211.416500 0.000699047
23 1863391520.000000 211.573500 0.000698809
24 1863391600.000000 211.726500 0.000699047
25 1863391680.000000 211.882500 0.00069857
26 1863391760.000000 212.037500 0.000698809
27 1863391840.000000 212.193500 0.000698809
