# SAMPLE - ONE ARM
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.  No bandpass filter.

SAMPLE: B3-The3-02, Ade edge filter, sent from Caltech 2016-06

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1863812080.000000 208.001500 0.00062776
1 1863812160.000000 208.157000 0.00062776
2 1863812240.000000 208.311500 0.00062776
3 1863812320.000000 208.468000 0.00062776
4 1863812400.000000 208.617500 0.00062776
5 1863812480.000000 208.773500 0.00062776
6 1863812560.000000 208.930000 0.00062776
7 1863812640.000000 209.084000 0.00062776
8 1863812720.000000 209.240500 0.000627521
9 1863812800.000000 209.396500 0.000627521
10 1863812880.000000 209.551500 0.000627521
11 1863812960.000000 209.705000 0.000627283
12 1863813040.000000 209.860000 0.000627521
13 1863813120.000000 210.017000 0.000627283
14 1863813200.000000 210.168500 0.000627283
15 1863813280.000000 210.324000 0.000627283
16 1863813360.000000 210.481000 0.000627283
17 1863813440.000000 210.632500 0.000627283
18 1863813520.000000 210.790500 0.000627283
19 1863813600.000000 210.944500 0.000627283
20 1863813680.000000 211.097000 0.000627045
21 1863813760.000000 211.255500 0.000627045
22 1863813840.000000 211.408500 0.000627045
23 1863813920.000000 211.562000 0.000627045
24 1863814000.000000 211.718500 0.000626806
25 1863814080.000000 211.870500 0.000626806
26 1863814160.000000 212.028500 0.000626806
27 1863814240.000000 212.183000 0.000626806
