#NO SAMPLE 
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2452529360.000000 208.006500 0.00016451
1 2452529440.000000 208.154000 0.00016454
2 2452529520.000000 208.303000 0.00016442
3 2452529600.000000 208.457000 0.00016445
4 2452529680.000000 208.610000 0.00016442
5 2452529760.000000 208.767000 0.000164361
6 2452529840.000000 208.921500 0.000164391
7 2452529920.000000 209.072500 0.000164361
8 2452530000.000000 209.228000 0.000164301
9 2452530080.000000 209.383500 0.000164271
10 2452530160.000000 209.536500 0.000164242
11 2452530240.000000 209.692500 0.000164212
12 2452530320.000000 209.847000 0.000164331
13 2452530400.000000 210.004500 0.00016442
14 2452530480.000000 210.156000 0.00016448
15 2452530560.000000 210.312500 0.00016445
16 2452530640.000000 210.468500 0.000164331
17 2452530720.000000 210.619500 0.000164271
18 2452530800.000000 210.777500 0.000164152
19 2452530880.000000 210.932000 0.000164063
20 2452530960.000000 211.084500 0.000164003
21 2452531040.000000 211.242500 0.000164033
22 2452531120.000000 211.395500 0.000164182
23 2452531200.000000 211.552500 0.000164331
24 2452531280.000000 211.705500 0.00016448
25 2452531360.000000 211.862500 0.00016448
26 2452531440.000000 212.018500 0.00016442
27 2452531520.000000 212.173000 0.000164212
