#NO SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2457228840.000000 208.014000 0.000165702
1 2457228920.000000 208.169500 0.000165672
2 2457229000.000000 208.321500 0.000165732
3 2457229080.000000 208.479000 0.000165761
4 2457229160.000000 208.633000 0.000165761
5 2457229240.000000 208.787500 0.000165732
6 2457229320.000000 208.942000 0.000165732
7 2457229400.000000 209.096500 0.000165702
8 2457229480.000000 209.249000 0.000165642
9 2457229560.000000 209.403000 0.000165642
10 2457229640.000000 209.555500 0.000165612
11 2457229720.000000 209.712500 0.000165583
12 2457229800.000000 209.868000 0.000165612
13 2457229880.000000 210.023500 0.000165702
14 2457229960.000000 210.177000 0.000165761
15 2457230040.000000 210.332000 0.000165761
16 2457230120.000000 210.488000 0.000165672
17 2457230200.000000 210.641500 0.000165523
18 2457230280.000000 210.795500 0.000165523
19 2457230360.000000 210.951000 0.000165374
20 2457230440.000000 211.105500 0.000165314
21 2457230520.000000 211.262500 0.000165434
22 2457230600.000000 211.414500 0.000165523
23 2457230680.000000 211.570500 0.000165672
24 2457230760.000000 211.728500 0.000165732
25 2457230840.000000 211.882000 0.000165761
26 2457230920.000000 212.038500 0.000165612
27 2457231000.000000 212.194500 0.000165493
