# NO SAMPLE -ONE ARM SCANS
 SAMPLE
NO SAMPLE 
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2451707940.000000 208.002500 0.00016442
1 2451708020.000000 208.152500 0.000164391
2 2451708100.000000 208.298000 0.000164271
3 2451708180.000000 208.455000 0.000164271
4 2451708260.000000 208.605000 0.000164271
5 2451708340.000000 208.761500 0.000164331
6 2451708420.000000 208.918000 0.000164271
7 2451708500.000000 209.073000 0.000164212
8 2451708580.000000 209.225000 0.000164182
9 2451708660.000000 209.378500 0.000164212
10 2451708740.000000 209.532500 0.000164122
11 2451708820.000000 209.688500 0.000164182
12 2451708900.000000 209.843000 0.000164212
13 2451708980.000000 209.998000 0.000164242
14 2451709060.000000 210.152000 0.000164331
15 2451709140.000000 210.309000 0.000164361
16 2451709220.000000 210.462500 0.000164271
17 2451709300.000000 210.615500 0.000164212
18 2451709380.000000 210.774000 0.000164093
19 2451709460.000000 210.925500 0.000164003
20 2451709540.000000 211.080500 0.000164003
21 2451709620.000000 211.239000 0.000164063
22 2451709700.000000 211.388500 0.000164122
23 2451709780.000000 211.546000 0.000164301
24 2451709860.000000 211.702000 0.00016445
25 2451709940.000000 211.858000 0.000164391
26 2451710020.000000 212.013500 0.000164331
