# NO SAMPLE -ONE ARM SCANS
 SAMPLE
NO SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2458139320.000000 208.009000 0.000165851
1 2458139400.000000 208.165000 0.000165821
2 2458139480.000000 208.328500 0.000165851
3 2458139560.000000 208.479500 0.000165851
4 2458139641.000000 208.634000 0.000165881
5 2458139720.000000 208.789000 0.000165821
6 2458139800.000000 208.943500 0.000165851
7 2458139880.000000 209.097500 0.000165732
8 2458139960.000000 209.252000 0.000165702
9 2458140040.000000 209.406500 0.000165702
10 2458140120.000000 209.560000 0.000165672
11 2458140200.000000 209.717500 0.000165702
12 2458140280.000000 209.867500 0.000165732
13 2458140360.000000 210.027000 0.000165851
14 2458140440.000000 210.178000 0.000165821
15 2458140520.000000 210.333500 0.000165791
16 2458140600.000000 210.488000 0.000165791
17 2458140680.000000 210.640500 0.000165732
18 2458140760.000000 210.797500 0.000165583
19 2458140840.000000 210.953500 0.000165434
20 2458140920.000000 211.106000 0.000165374
21 2458141000.000000 211.262500 0.000165583
22 2458141080.000000 211.416500 0.000165702
23 2458141160.000000 211.573500 0.000165851
24 2458141240.000000 211.726500 0.00016597
25 2458141320.000000 211.880500 0.000165881
26 2458141400.000000 212.040000 0.000165881
