#SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2378218500.000000 207.976500 0.000200153
1 2378218580.000000 208.089000 0.000199915
2 2378218660.000000 208.204500 0.000200004
3 2378218740.000000 208.317500 0.000200153
4 2378218820.000000 208.435500 0.000200511
5 2378218900.000000 208.547500 0.000200749
6 2378218980.000000 208.665000 0.000200898
7 2378219060.000000 208.780000 0.000200779
8 2378219140.000000 208.896000 0.000200511
9 2378219220.000000 209.009500 0.000200213
10 2378219300.000000 209.124500 0.000199945
11 2378219380.000000 209.241500 0.000199855
12 2378219460.000000 209.355000 0.000200004
13 2378219540.000000 209.469500 0.000200213
14 2378219620.000000 209.584500 0.000200511
15 2378219700.000000 209.699500 0.00020072
16 2378219780.000000 209.814000 0.00020072
17 2378219860.000000 209.931500 0.000200541
18 2378219940.000000 210.045500 0.000200243
19 2378220020.000000 210.160000 0.000200004
20 2378220100.000000 210.276000 0.000199766
21 2378220180.000000 210.391500 0.000199855
22 2378220260.000000 210.507500 0.000200004
23 2378220340.000000 210.619500 0.000200273
24 2378220420.000000 210.738000 0.000200571
25 2378220500.000000 210.851500 0.00020063
26 2378220580.000000 210.967000 0.0002006
27 2378220660.000000 211.081500 0.000200243
