# SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2467313860.000000 207.976000 0.000166387
1 2467313940.000000 208.129500 0.000166417
2 2467314020.000000 208.284500 0.000166357
3 2467314100.000000 208.440000 0.000166357
4 2467314180.000000 208.591500 0.000166387
5 2467314260.000000 208.748500 0.000166417
6 2467314340.000000 208.904000 0.000166417
7 2467314420.000000 209.057000 0.000166328
8 2467314500.000000 209.212500 0.000166298
9 2467314580.000000 209.366500 0.000166208
10 2467314660.000000 209.520500 0.000166179
11 2467314740.000000 209.675500 0.000166119
12 2467314820.000000 209.831500 0.000166238
13 2467314900.000000 209.985000 0.000166387
14 2467314980.000000 210.139500 0.000166417
15 2467315060.000000 210.298000 0.000166357
16 2467315140.000000 210.450500 0.000166357
17 2467315220.000000 210.603500 0.000166268
18 2467315300.000000 210.762500 0.000166149
19 2467315380.000000 210.916000 0.000166
20 2467315460.000000 211.069500 0.00016591
21 2467315540.000000 211.225500 0.00016594
22 2467315620.000000 211.376000 0.000166059
23 2467315700.000000 211.533500 0.000166238
24 2467315780.000000 211.689500 0.000166357
25 2467315860.000000 211.846000 0.000166387
26 2467315940.000000 212.000000 0.000166357
27 2467316020.000000 212.156000 0.000166089
28 2467316100.000000 212.311000 0.000166
29 2467316180.000000 212.467000 0.000165821
30 2467316260.000000 212.619000 0.000165672
