# NO SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2464683040.000000 207.969500 0.000166626
1 2464683120.000000 208.124000 0.000166685
2 2464683200.000000 208.280500 0.000166596
3 2464683280.000000 208.437000 0.000166626
4 2464683360.000000 208.591000 0.000166656
5 2464683440.000000 208.748000 0.000166685
6 2464683520.000000 208.901500 0.000166685
7 2464683600.000000 209.056500 0.000166626
8 2464683680.000000 209.211500 0.000166536
9 2464683760.000000 209.365500 0.000166447
10 2464683840.000000 209.520500 0.000166387
11 2464683920.000000 209.676000 0.000166477
12 2464684000.000000 209.830000 0.000166447
13 2464684080.000000 209.984000 0.000166596
14 2464684160.000000 210.137500 0.000166566
15 2464684240.000000 210.296500 0.000166596
16 2464684320.000000 210.448500 0.000166536
17 2464684400.000000 210.603000 0.000166477
18 2464684480.000000 210.760500 0.000166357
19 2464684560.000000 210.915000 0.000166238
20 2464684640.000000 211.068000 0.000166179
21 2464684720.000000 211.224000 0.000166268
22 2464684800.000000 211.378000 0.000166328
23 2464684880.000000 211.532000 0.000166536
24 2464684960.000000 211.687000 0.000166656
25 2464685040.000000 211.845000 0.000166656
26 2464685120.000000 211.998000 0.000166656
27 2464685200.000000 212.154000 0.000166417
28 2464685280.000000 212.312500 0.000166238
29 2464685360.000000 212.466000 0.00016603
30 2464685440.000000 212.621000 0.00016597
