# NO SAMPLE -ONE ARM SCANS
6
NO SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2378747943.000000 207.983000 0.00020525
1 2378748040.000000 208.098000 0.000205011
2 2378748120.000000 208.215500 0.000205011
3 2378748200.000000 208.328000 0.000205279
4 2378748280.000000 208.447000 0.000205637
5 2378748360.000000 208.561000 0.000205816
6 2378748440.000000 208.679000 0.000205995
7 2378748520.000000 208.793500 0.000205816
8 2378748600.000000 208.909000 0.000205577
9 2378748680.000000 209.022500 0.00020525
10 2378748760.000000 209.139500 0.000204981
11 2378748840.000000 209.252000 0.000204952
12 2378748920.000000 209.367000 0.000205071
13 2378749000.000000 209.483500 0.000205339
14 2378749080.000000 209.598500 0.000205637
15 2378749160.000000 209.714000 0.000205846
16 2378749240.000000 209.828000 0.000205816
17 2378749320.000000 209.945000 0.000205577
18 2378749400.000000 210.057000 0.000205279
19 2378749480.000000 210.174500 0.000204981
20 2378749560.000000 210.290500 0.000204773
21 2378749640.000000 210.404000 0.000204892
22 2378749720.000000 210.520000 0.00020522
23 2378749800.000000 210.635500 0.000205548
24 2378749880.000000 210.752000 0.000205577
25 2378749960.000000 210.864000 0.000205667
26 2378750040.000000 210.983000 0.000205548
