# NO SAMPLE
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2634394800.000000 207.974000 0.000186504
1 2634394880.000000 208.128500 0.000186563
2 2634394960.000000 208.281500 0.000186534
3 2634395040.000000 208.439500 0.000186504
4 2634395120.000000 208.592500 0.000186504
5 2634395200.000000 208.747000 0.000186534
6 2634395280.000000 208.903500 0.000186563
7 2634395360.000000 209.058000 0.000186414
8 2634395440.000000 209.211000 0.000186385
9 2634395520.000000 209.364500 0.000186355
10 2634395600.000000 209.522000 0.000186265
11 2634395680.000000 209.674500 0.000186236
12 2634395760.000000 209.829500 0.000186236
13 2634395840.000000 209.986500 0.000186414
14 2634395920.000000 210.137500 0.000186504
15 2634396000.000000 210.295000 0.000186474
16 2634396080.000000 210.452000 0.000186534
17 2634396160.000000 210.601500 0.000186325
18 2634396240.000000 210.760000 0.000186236
19 2634396320.000000 210.915500 0.000186057
20 2634396400.000000 211.068000 0.000185967
21 2634396480.000000 211.225500 0.000186087
22 2634396560.000000 211.378000 0.000186206
23 2634396640.000000 211.531500 0.000186414
24 2634396720.000000 211.687500 0.000186563
25 2634396800.000000 211.844500 0.000186653
26 2634396880.000000 211.999000 0.000186563
27 2634396960.000000 212.154500 0.000186355
28 2634397040.000000 212.312500 0.000186087
29 2634397120.000000 212.470000 0.000185908
30 2634397200.000000 212.620000 0.000185729
