#  SAMPLE
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2632857440.000000 207.971500 0.000155003
1 2632857520.000000 208.121000 0.000155003
2 2632857600.000000 208.268000 0.000154973
3 2632857680.000000 208.422000 0.000154973
4 2632857760.000000 208.575500 0.000154973
5 2632857840.000000 208.732500 0.000155003
6 2632857920.000000 208.884500 0.000155033
7 2632858000.000000 209.038500 0.000154913
8 2632858080.000000 209.194500 0.000154884
9 2632858160.000000 209.348000 0.000154764
10 2632858240.000000 209.503000 0.000154794
11 2632858320.000000 209.656000 0.000154735
12 2632858400.000000 209.813000 0.000154764
13 2632858480.000000 209.966000 0.000154824
14 2632858560.000000 210.119500 0.000154884
15 2632858640.000000 210.279000 0.000155033
16 2632858720.000000 210.431000 0.000155003
17 2632858800.000000 210.586000 0.000154973
18 2632858880.000000 210.743000 0.000154794
19 2632858960.000000 210.893000 0.000154586
20 2632859040.000000 211.050500 0.000154556
21 2632859120.000000 211.206500 0.000154496
22 2632859200.000000 211.360000 0.000154586
23 2632859280.000000 211.514500 0.000154735
24 2632859360.000000 211.669500 0.000154913
25 2632859440.000000 211.827000 0.000155062
26 2632859520.000000 211.982000 0.000155033
27 2632859600.000000 212.136500 0.000154854
28 2632859680.000000 212.294500 0.000154705
29 2632859760.000000 212.448000 0.000154466
30 2632859840.000000 212.603000 0.000154288
