# SAMPLE
FTS 95 GHz source w/rect feedhorn, cone feedhorn on detect.

SAMPLE: 612-613 etalon with a 2" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2633725000.000000 207.975500 0.000155331
1 2633725080.000000 208.117000 0.000155241
2 2633725160.000000 208.268500 0.000155211
3 2633725240.000000 208.420000 0.000155211
4 2633725320.000000 208.573000 0.000155271
5 2633725400.000000 208.728000 0.000155301
6 2633725480.000000 208.885000 0.000155301
7 2633725560.000000 209.037000 0.000155271
8 2633725640.000000 209.192000 0.000155152
9 2633725720.000000 209.346000 0.000155092
10 2633725800.000000 209.499500 0.000155092
11 2633725880.000000 209.655000 0.000155003
12 2633725960.000000 209.812000 0.000155003
13 2633726040.000000 209.964000 0.000155092
14 2633726120.000000 210.118000 0.000155211
15 2633726200.000000 210.278000 0.000155301
16 2633726280.000000 210.432500 0.000155301
17 2633726360.000000 210.582500 0.000155152
18 2633726440.000000 210.738000 0.000155033
19 2633726520.000000 210.892000 0.000154973
20 2633726600.000000 211.049000 0.000154854
21 2633726680.000000 211.204000 0.000154854
22 2633726760.000000 211.355500 0.000154854
23 2633726840.000000 211.513000 0.000154943
24 2633726920.000000 211.667500 0.000155182
25 2633727000.000000 211.822000 0.000155241
26 2633727080.000000 211.979000 0.000155241
27 2633727160.000000 212.135000 0.000155152
28 2633727240.000000 212.289000 0.000154943
29 2633727320.000000 212.445000 0.000154615
30 2633727400.000000 212.601500 0.000154526
