# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the y direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1843961620.000000 208.003000 0.000105143
1 1843961700.000000 208.159000 0.000105143
2 1843961780.000000 208.309500 0.000105143
3 1843961860.000000 208.467500 0.000105143
4 1843961940.000000 208.622000 0.000105143
5 1843962020.000000 208.779000 0.000105143
6 1843962100.000000 208.932500 0.000105143
7 1843962180.000000 209.085500 0.000105143
8 1843962260.000000 209.243000 0.000105143
9 1843962340.000000 209.395500 0.000105143
10 1843962420.000000 209.551000 0.000105143
11 1843962500.000000 209.707500 0.000105143
12 1843962580.000000 209.858500 0.000105143
13 1843962660.000000 210.016000 0.000105143
14 1843962740.000000 210.170500 0.000105143
15 1843962820.000000 210.323000 0.000105143
16 1843962900.000000 210.480000 0.000105143
17 1843962980.000000 210.634500 0.000105143
18 1843963060.000000 210.792000 0.000105143
19 1843963140.000000 210.945500 0.000105143
20 1843963220.000000 211.099500 0.000105143
21 1843963300.000000 211.258000 0.000105143
22 1843963380.000000 211.408000 0.000105143
23 1843963460.000000 211.564500 0.000105143
24 1843963540.000000 211.721000 0.000105143
25 1843963620.000000 211.876000 0.000105143
26 1843963700.000000 212.029000 0.000105143
27 1843963780.000000 212.183000 0.000105143
28 1843963860.000000 212.340500 0.000105143
