#SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2443446120.000000 207.994000 0.000203074
1 2443446220.000000 208.104000 0.000203134
2 2443446300.000000 208.221000 0.000203044
3 2443446380.000000 208.333000 0.000203163
4 2443446460.000000 208.449000 0.000203461
5 2443446540.000000 208.563000 0.000203819
6 2443446620.000000 208.682000 0.000203879
7 2443446700.000000 208.795500 0.000203551
8 2443446780.000000 208.911000 0.000203521
9 2443446860.000000 209.025500 0.000203104
10 2443446940.000000 209.142000 0.000202895
11 2443447020.000000 209.254500 0.000202865
12 2443447100.000000 209.370000 0.000202955
13 2443447180.000000 209.487500 0.000203402
14 2443447260.000000 209.599000 0.00020361
15 2443447340.000000 209.716500 0.00020373
16 2443447420.000000 209.831500 0.000203819
17 2443447500.000000 209.948000 0.000203432
18 2443447580.000000 210.061000 0.000203402
19 2443447660.000000 210.178000 0.000202895
20 2443447740.000000 210.294000 0.000202836
21 2443447820.000000 210.408000 0.000202925
22 2443447900.000000 210.522500 0.000203074
23 2443447980.000000 210.638500 0.000203461
24 2443448060.000000 210.756000 0.000203551
25 2443448140.000000 210.866000 0.00020367
26 2443448220.000000 210.983000 0.000203491
27 2443448300.000000 211.097500 0.000203163
