# NO SAMPLE -ONE ARM SCANS
6
SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2439104140.000000 207.988500 0.00020367
1 2439104220.000000 208.102000 0.000203491
2 2439104300.000000 208.217500 0.000203521
3 2439104380.000000 208.331500 0.00020367
4 2439104460.000000 208.447000 0.000204028
5 2439104540.000000 208.561500 0.000204236
6 2439104620.000000 208.679500 0.000204415
7 2439104700.000000 208.793500 0.000204266
8 2439104780.000000 208.909000 0.000203968
9 2439104861.000000 209.023000 0.0002037
10 2439104940.000000 209.138500 0.000203432
11 2439105020.000000 209.252000 0.000203461
12 2439105100.000000 209.367000 0.000203521
13 2439105180.000000 209.482500 0.000203879
14 2439105260.000000 209.596000 0.000204057
15 2439105340.000000 209.714000 0.000204266
16 2439105420.000000 209.829000 0.000204266
17 2439105500.000000 209.944000 0.000203998
18 2439105580.000000 210.057500 0.000203849
19 2439105660.000000 210.172500 0.000203461
20 2439105740.000000 210.288000 0.000203223
21 2439105820.000000 210.403000 0.000203312
22 2439105900.000000 210.519500 0.000203551
23 2439105980.000000 210.632500 0.000203938
24 2439106060.000000 210.750000 0.000204057
25 2439106140.000000 210.863500 0.000204117
26 2439106220.000000 210.981500 0.000204028
