# NO  SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the x direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1858862700.000000 208.009500 0.000177146
1 1858862780.000000 208.165500 0.000176908
2 1858862860.000000 208.319500 0.000176908
3 1858862940.000000 208.477000 0.000176908
4 1858863020.000000 208.633500 0.000176908
5 1858863100.000000 208.790000 0.000177146
6 1858863180.000000 208.945500 0.000177146
7 1858863260.000000 209.099500 0.000177146
8 1858863340.000000 209.253000 0.000176908
9 1858863420.000000 209.407500 0.000176908
10 1858863500.000000 209.563000 0.000176908
11 1858863580.000000 209.716500 0.000176908
12 1858863660.000000 209.870500 0.000176908
13 1858863740.000000 210.027500 0.000176908
14 1858863820.000000 210.180500 0.000177146
15 1858863900.000000 210.336000 0.000177146
16 1858863980.000000 210.493500 0.000177146
17 1858864060.000000 210.644000 0.000177146
18 1858864140.000000 210.801500 0.000176908
19 1858864220.000000 210.956500 0.000176669
20 1858864300.000000 211.108500 0.000176669
21 1858864380.000000 211.264000 0.000176669
22 1858864460.000000 211.417000 0.000176669
23 1858864540.000000 211.573500 0.000176908
24 1858864620.000000 211.730000 0.000177146
25 1858864700.000000 211.882500 0.000177146
26 1858864780.000000 212.040000 0.000177146
27 1858864860.000000 212.196000 0.000177146
28 1858864940.000000 212.354500 0.000176669
