# NO SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the x direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1858008680.000000 208.013000 0.000176431
1 1858008760.000000 208.168500 0.000176431
2 1858008840.000000 208.318000 0.000176192
3 1858008920.000000 208.474500 0.000176192
4 1858009000.000000 208.632000 0.000176431
5 1858009080.000000 208.787000 0.000176431
6 1858009160.000000 208.941000 0.000176431
7 1858009240.000000 209.092500 0.000176431
8 1858009320.000000 209.249500 0.000176431
9 1858009400.000000 209.401500 0.000176431
10 1858009480.000000 209.556000 0.000176431
11 1858009560.000000 209.713000 0.000176192
12 1858009640.000000 209.864000 0.000176192
13 1858009720.000000 210.021500 0.000176192
14 1858009800.000000 210.176500 0.000176431
15 1858009880.000000 210.332500 0.000176431
16 1858009960.000000 210.486500 0.000176431
17 1858010040.000000 210.640500 0.000176431
18 1858010120.000000 210.797500 0.000176431
19 1858010200.000000 210.950000 0.000175954
20 1858010280.000000 211.103500 0.000176192
21 1858010360.000000 211.262500 0.000175954
22 1858010440.000000 211.413000 0.000176192
23 1858010520.000000 211.570000 0.000176431
24 1858010600.000000 211.726000 0.000176431
25 1858010680.000000 211.878500 0.000176431
26 1858010760.000000 212.036500 0.000176431
27 1858010840.000000 212.193500 0.000176431
28 1858010920.000000 212.347000 0.000176192
