# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.  No bandpass filter.

SAMPLE: B3-The3-02, Ade edge filter, sent from Caltech 2016-06

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1861700080.000000 208.021500 0.000697616
1 1861700160.000000 208.171500 0.000697616
2 1861700240.000000 208.317000 0.000697616
3 1861700320.000000 208.475000 0.000697616
4 1861700400.000000 208.625000 0.000697616
5 1861700480.000000 208.768000 0.000697378
6 1861700561.000000 208.923000 0.000697378
7 1861700640.000000 209.076000 0.00069714
8 1861700720.000000 209.233500 0.000696901
9 1861700800.000000 209.385000 0.00069714
10 1861700880.000000 209.541000 0.000696901
11 1861700960.000000 209.698000 0.000696901
12 1861701040.000000 209.848500 0.000696901
13 1861701120.000000 210.006000 0.000696901
14 1861701200.000000 210.160000 0.000696901
15 1861701280.000000 210.316500 0.000696901
16 1861701360.000000 210.470000 0.000696901
17 1861701440.000000 210.623500 0.000696901
18 1861701520.000000 210.781000 0.000696663
19 1861701600.000000 210.934000 0.000696424
20 1861701680.000000 211.089000 0.000696424
21 1861701760.000000 211.248000 0.000696663
22 1861701840.000000 211.399000 0.000696424
23 1861701920.000000 211.555000 0.000696424
24 1861702000.000000 211.710500 0.000696424
25 1861702080.000000 211.863000 0.000696186
26 1861702160.000000 212.019000 0.000696424
27 1861702240.000000 212.173000 0.000696424
