# SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.  No bandpass filter.

SAMPLE: B3-The3-02, Ade edge filter, sent from Caltech 2016-06

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1866209340.000000 208.007000 0.00101853
1 1866209420.000000 208.163000 0.00101758
2 1866209500.000000 208.314000 0.00101829
3 1866209580.000000 208.471500 0.00101996
4 1866209660.000000 208.626500 0.00102258
5 1866209740.000000 208.780500 0.00102497
6 1866209820.000000 208.936500 0.0010264
7 1866209900.000000 209.090500 0.0010264
8 1866209980.000000 209.244500 0.00102568
9 1866210060.000000 209.399500 0.00102402
10 1866210140.000000 209.555000 0.00102187
11 1866210220.000000 209.708500 0.00102044
12 1866210300.000000 209.862500 0.00101901
13 1866210380.000000 210.020500 0.00101805
14 1866210460.000000 210.172000 0.00101805
15 1866210540.000000 210.328000 0.00101901
16 1866210620.000000 210.485000 0.00102068
17 1866210700.000000 210.636000 0.00102306
18 1866210780.000000 210.793000 0.00102545
19 1866210860.000000 210.948500 0.00102688
20 1866210940.000000 211.101500 0.00102688
21 1866211020.000000 211.257500 0.00102616
22 1866211100.000000 211.412000 0.0010233
23 1866211180.000000 211.568000 0.00101972
24 1866211260.000000 211.721000 0.00101639
25 1866211340.000000 211.874000 0.00101424
26 1866211420.000000 212.032000 0.00101424
27 1866211500.000000 212.188000 0.00101662
