# # SAMPLE - One Arm Scans
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 640801800.000000 168.006500 9.61726e-005
1 640801880.000000 168.161000 9.61726e-005
2 640801960.000000 168.314000 9.61726e-005
3 640802040.000000 168.469000 9.62024e-005
4 640802120.000000 168.625000 9.61726e-005
5 640802200.000000 168.777000 9.61428e-005
6 640802280.000000 168.932500 9.62024e-005
7 640802360.000000 169.089500 9.60534e-005
8 640802440.000000 169.241000 9.61428e-005
9 640802520.000000 169.397500 9.60832e-005
10 640802600.000000 169.554000 9.60235e-005
11 640802680.000000 169.708000 9.60534e-005
12 640802760.000000 169.860000 9.59937e-005
13 640802840.000000 170.012000 9.59639e-005
14 640802920.000000 170.168000 9.59341e-005
15 640803000.000000 170.325000 9.58447e-005
16 640803080.000000 170.479000 9.59341e-005
17 640803160.000000 170.632500 9.59043e-005
18 640803240.000000 170.788000 9.59341e-005
19 640803320.000000 170.942500 9.59341e-005
20 640803400.000000 171.099000 9.59937e-005
21 640803480.000000 171.253500 9.60235e-005
22 640803560.000000 171.410500 9.59639e-005
23 640803640.000000 171.569500 9.59043e-005
24 640803720.000000 171.723500 9.57851e-005
25 640803800.000000 171.881000 9.56659e-005
26 640803880.000000 172.034500 9.56957e-005
27 640803960.000000 172.188000 9.56957e-005
28 640804040.000000 172.345000 9.58745e-005
29 640804120.000000 172.494500 9.59341e-005
30 640804200.000000 172.657500 9.59937e-005
31 640804280.000000 172.811500 9.59341e-005
32 640804360.000000 172.967500 9.59937e-005
33 640804440.000000 173.122000 9.60235e-005
34 640804520.000000 173.276000 9.59639e-005
35 640804600.000000 173.433500 9.59639e-005
36 640804680.000000 173.585000 9.59043e-005
37 640804760.000000 173.740500 9.59341e-005
38 640804840.000000 173.897500 9.59639e-005
39 640804920.000000 174.049500 9.58745e-005
40 640805000.000000 174.207000 9.59341e-005
41 640805080.000000 174.359500 9.59341e-005
42 640805160.000000 174.515000 9.58745e-005
43 640805240.000000 174.673000 9.58745e-005
44 640805320.000000 174.827500 9.58149e-005
45 640805400.000000 174.981000 9.58149e-005
46 640805480.000000 175.137500 9.57851e-005
47 640805560.000000 175.291000 9.56361e-005
48 640805640.000000 175.445500 9.57553e-005
49 640805720.000000 175.601500 9.57553e-005
