# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the y direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1843556582.000000 208.027500 0.00010562
1 1843556680.000000 208.183500 0.00010562
2 1843556760.000000 208.332500 0.00010562
3 1843556840.000000 208.486500 0.00010562
4 1843556920.000000 208.639000 0.00010562
5 1843557000.000000 208.794500 0.00010562
6 1843557080.000000 208.948500 0.00010562
7 1843557160.000000 209.102000 0.00010562
8 1843557240.000000 209.256500 0.00010562
9 1843557320.000000 209.411500 0.00010562
10 1843557400.000000 209.566500 0.00010562
11 1843557480.000000 209.720500 0.00010562
12 1843557560.000000 209.874500 0.00010562
13 1843557640.000000 210.028000 0.00010562
14 1843557720.000000 210.186000 0.00010562
15 1843557800.000000 210.337500 0.00010562
16 1843557880.000000 210.494000 0.000105381
17 1843557960.000000 210.648500 0.00010562
18 1843558040.000000 210.805000 0.00010562
19 1843558120.000000 210.959000 0.00010562
20 1843558200.000000 211.113000 0.00010562
21 1843558280.000000 211.272000 0.00010562
22 1843558360.000000 211.423500 0.00010562
23 1843558440.000000 211.579500 0.00010562
24 1843558520.000000 211.736000 0.000105381
25 1843558600.000000 211.888500 0.00010562
26 1843558680.000000 212.046000 0.00010562
27 1843558760.000000 212.202000 0.00010562
28 1843558840.000000 212.355500 0.00010562
