# NO SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the x direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1855264860.000000 208.003000 0.000177384
1 1855264940.000000 208.155000 0.000177146
2 1855265020.000000 208.308500 0.000177384
3 1855265100.000000 208.471000 0.000177146
4 1855265180.000000 208.614500 0.000177146
5 1855265260.000000 208.771500 0.000177146
6 1855265340.000000 208.927000 0.000177384
7 1855265420.000000 209.079500 0.000177384
8 1855265500.000000 209.234000 0.000177384
9 1855265580.000000 209.389000 0.000177146
10 1855265660.000000 209.545000 0.000177146
11 1855265740.000000 209.699500 0.000177146
12 1855265820.000000 209.852000 0.000177146
13 1855265900.000000 210.009000 0.000177146
14 1855265980.000000 210.163000 0.000177384
15 1855266060.000000 210.318000 0.000177384
16 1855266140.000000 210.472000 0.000177384
17 1855266220.000000 210.625500 0.000177384
18 1855266300.000000 210.783500 0.000177146
19 1855266380.000000 210.935500 0.000177146
20 1855266460.000000 211.091000 0.000177146
21 1855266540.000000 211.249000 0.000177146
22 1855266620.000000 211.399000 0.000177146
23 1855266700.000000 211.556500 0.000177384
24 1855266780.000000 211.713500 0.000177384
25 1855266860.000000 211.865500 0.000177623
26 1855266940.000000 212.022500 0.000177623
27 1855267020.000000 212.179000 0.000177384
28 1855267100.000000 212.333500 0.000177146
